population,NofCrime,Nof5CategoryCrime,NofOtherCrime,midnightCrime,morningCrime,dayCrime,nightCrime,bad_health,bad_health_range,bad_health_range10
4506,103,63,14,7,28,34,34,9.7,2,3
3391,83,46,12,8,23,29,23,9.8,2,3
2937,74,47,12,7,20,25,22,9.4,2,3
4475,64,39,3,8,10,32,14,7.3,1,2
5850,107,67,11,12,23,41,31,7.9,1,3
4134,180,114,13,10,38,75,57,7.7,1,2
3635,116,55,19,18,21,37,40,10.5,2,3
5911,140,83,27,18,32,39,51,10.1,2,3
3087,108,67,16,11,34,29,34,10,2,3
3877,113,67,24,14,23,43,33,9.3,2,3
4354,101,60,20,21,22,24,34,9.7,2,3
2411,184,100,43,29,33,62,60,10.5,2,3
3378,100,58,33,2,38,39,21,10.9,2,4
2941,69,37,8,8,24,17,20,11.9,2,4
4074,113,68,20,13,28,36,36,11.4,2,4
2197,73,39,8,15,21,27,10,10.1,2,3
3711,282,192,50,29,57,105,91,10.7,2,4
3695,333,241,56,41,83,82,127,10.1,2,3
3172,336,228,72,28,63,123,122,8.2,1,3
2884,582,404,127,77,101,204,200,7.2,1,2
2413,257,161,37,35,55,85,82,8.3,1,3
2801,115,58,28,10,24,50,31,9.4,2,3
3107,148,101,24,15,30,57,46,8.7,1,3
4227,364,232,67,43,74,121,126,7.8,1,2
4418,309,210,43,47,82,99,81,7.7,1,2
4337,104,53,7,13,33,35,23,9.1,2,3
1177,37,22,5,1,12,14,10,8.8,1,3
4226,123,64,35,12,29,40,42,14.2,3,5
3887,174,84,27,22,44,50,58,13.1,3,4
4775,154,91,40,20,37,55,42,10.1,2,3
4993,169,107,23,16,55,52,46,10.5,2,3
3349,257,186,28,16,64,96,81,7.3,1,2
5207,219,109,43,33,46,77,63,16.7,3,6
6215,142,91,16,14,37,49,42,6.3,1,2
2711,105,71,8,13,26,39,27,11.1,2,4
5396,168,104,20,13,44,57,54,9.4,2,3
5592,285,175,66,31,71,78,105,9.7,2,3
4009,59,37,4,6,17,16,20,9.2,2,3
5063,122,77,13,18,32,39,33,6,1,2
3838,129,86,22,15,31,52,31,8.5,1,3
5252,189,108,35,28,53,55,53,7.8,1,2
3983,177,118,39,16,58,61,42,9.2,2,3
5395,156,97,27,19,48,44,45,9.1,2,3
3004,183,121,36,34,52,40,57,10.5,2,3
2490,622,385,46,90,140,180,212,11.2,2,4
1533,595,424,69,97,134,206,158,14.3,3,5
2458,344,221,41,39,67,149,89,11.1,2,4
3158,114,75,19,15,27,37,35,8.5,1,3
3510,175,103,39,29,48,47,51,15.4,3,5
2210,177,96,34,28,36,58,55,18.5,4,6
3582,152,103,36,32,30,38,52,14.5,3,5
4967,156,83,32,31,12,53,60,14.5,3,5
3353,163,91,43,27,33,55,48,14.9,3,5
2601,158,106,27,19,30,66,43,10.6,2,4
6542,381,271,58,36,71,161,113,14.4,3,5
6629,261,152,61,46,56,69,90,13.2,3,4
6742,172,88,57,37,34,38,63,16.8,3,6
2805,75,49,11,10,17,22,26,10.6,2,4
4720,181,122,42,10,51,72,48,13,3,4
4178,125,64,34,12,24,42,47,15.6,3,5
2189,79,40,17,6,15,28,30,11.8,2,4
2306,165,90,37,22,37,44,62,14.2,3,5
4140,150,85,35,19,33,62,36,15.3,3,5
2370,73,40,25,8,22,22,21,18.3,4,6
4951,181,101,37,25,41,62,53,13.9,3,5
2448,189,98,25,27,38,56,68,15.1,3,5
4754,151,94,26,23,41,35,52,17.5,4,6
4579,141,63,34,16,31,48,46,14.3,3,5
2950,134,81,30,11,33,49,41,17.9,4,6
4214,148,98,45,33,33,34,48,18.7,4,7
3564,156,90,33,19,27,60,50,15.4,3,5
4065,160,92,38,20,28,69,43,19,4,7
4219,176,87,46,29,39,54,54,18,4,6
3019,178,94,44,32,41,47,58,20.9,4,7
3991,278,138,77,24,39,120,95,21.3,5,7
3579,317,171,84,34,53,106,124,21.9,5,8
3707,197,120,69,28,35,51,83,21.5,5,8
3265,217,104,63,26,44,68,79,20.8,4,7
4875,280,154,21,17,60,113,90,10.4,2,3
3019,138,73,44,14,29,48,47,18.8,4,7
4307,356,194,111,36,61,125,134,21.6,5,8
4221,187,119,27,12,41,77,57,11.4,2,4
3191,77,47,16,11,21,18,27,11.4,2,4
3091,117,74,18,18,24,35,40,12.6,2,4
3910,138,75,41,24,27,42,45,18.4,4,6
5218,311,198,68,45,55,101,110,18.3,4,6
4127,191,108,46,29,37,66,59,15.2,3,5
3851,269,156,65,40,33,92,104,14.2,3,5
5343,123,66,29,17,28,33,45,11.2,2,4
4679,398,244,132,48,64,137,149,19,4,7
3315,260,140,65,38,59,63,100,17.9,4,6
3475,216,125,45,42,32,61,81,14.1,3,5
3423,158,88,36,26,29,54,49,13.1,3,4
2374,65,39,14,6,14,24,21,10.6,2,4
3603,60,44,7,11,16,19,14,11.1,2,4
5163,66,32,14,9,13,26,18,11.8,2,4
2594,131,78,29,16,28,37,50,9.9,2,3
3503,113,60,25,16,31,34,32,11.6,2,4
2226,62,37,16,4,22,26,10,10.8,2,4
2471,183,91,25,25,44,56,58,9.6,2,3
145,44,21,7,9,10,15,10,19.1,4,7
164,31,16,5,0,9,13,9,25.4,6,9
239,67,43,14,12,15,23,17,25.9,6,9
554,4,3,1,0,2,2,0,14,3,5
173,3,1,0,0,1,1,1,8.1,1,3
186,27,21,3,0,13,9,5,10.7,2,4
1262,21,17,4,3,3,10,5,10.9,2,4
